Ref,Val,Package,PosX,PosY,Rot,Side
"0.1uF1","C3","C_0805_2012Metric",75.500000,-88.450000,-90.000000,bottom
"1.5ohms1","Raisen","R_1210_3225Metric",80.037500,-103.000000,0.000000,bottom
"1.5ohms2","Raisen","R_1210_3225Metric",73.500000,-103.000000,0.000000,bottom
"2.2uF1","C1","C_1210_3225Metric",71.500000,-88.475000,90.000000,bottom
"10uF1","C2","C_1206_3216Metric",78.500000,-88.975000,-90.000000,bottom
"C3","100nF","C_0805_2012Metric",92.300000,-82.000000,180.000000,bottom
"R5","500Ω","R_0805_2012Metric",107.887500,-80.600000,180.000000,bottom
